PC1,PC2,Cluster
-2198.316,-350.09256,0
-2771.637,-630.62067,0
3280.8098,1274.593,3
34.50122,112.63397,7
-524.8401,3.8138428,7
-148.27637,373.23492,7
-2266.8445,-376.0102,0
-653.4595,-210.90479,7
-1529.9163,-578.7814,0
-1927.1523,-306.22205,0
-2109.7007,-617.1302,0
-2850.2207,-675.88214,0
5615.333,1062.5898,5
2441.0315,948.25824,3
-2450.914,-478.39984,0
-2289.4375,-785.7079,0
656.48145,532.2127,7
-945.9834,-308.58185,7
-1952.0392,-725.6303,0
-2888.6853,-684.395,0
848.73975,-93.624695,7
-2556.101,-694.8059,0
5289.6367,1403.2761,5
-1376.2128,-30.410461,0
-2550.6775,-522.44116,0
1646.4436,2739.2888,3
-2247.415,-436.0837,0
1816.3928,2663.9893,3
-1777.3354,-181.56476,0
-2838.001,-655.91516,0
-2645.227,-596.0469,0
-1110.4668,-28.263977,7
2118.1658,669.9594,3
908.1948,-212.8476,7
-2834.0935,-661.7868,0
-2838.2156,-661.99414,0
-2555.3147,-565.3501,0
1561.3767,666.72064,3
709.5847,1172.4858,7
-342.81055,158.68079,7
824.8047,2379.7102,3
-1226.4866,-486.2716,0
-2205.519,-395.6113,0
-1799.556,-200.53558,0
-2311.9106,-427.06628,0
-2589.0098,-555.3861,0
-1865.2148,-252.49219,0
-126.126465,366.7613,7
1287.3015,1960.1787,3
1077.4797,705.8542,3
-2287.1187,-596.3518,0
-495.04907,-27.766968,7
-2139.4907,-756.9936,0
1231.3064,599.1109,3
-1505.4402,-350.07922,0
-2307.8374,-442.17657,0
-907.39526,1.9030762,7
-2810.4482,-625.755,0
-1346.6437,-45.58905,0
-2181.1907,-521.98425,0
679.7788,194.81537,7
-2188.9968,-379.5797,0
-1944.5251,-798.6021,0
-2276.2048,-617.9844,0
-2518.307,-518.80994,0
9214.905,1853.8052,5
1633.8792,2306.12,3
15021.021,1486.6038,1
39.554443,293.2127,7
-2018.4465,-273.41113,0
-1161.6034,-465.83618,7
-1703.6073,-657.7901,0
-2212.6958,-501.2404,0
-2063.312,-323.4784,0
-1082.2786,-175.82031,7
-2850.7212,-648.1955,0
10641.473,1467.1143,5
-2466.627,-550.72534,0
-2764.9424,-622.7725,0
1912.9236,3501.53,3
2558.9866,5351.9,3
-2570.507,-594.9327,0
-1315.6838,-53.93152,7
-2803.5176,-666.9991,0
-2761.7886,-617.29675,0
8054.4004,1631.4265,5
-37.020264,267.98505,7
16358.785,1501.6086,1
-2488.7063,-523.7876,0
5818.593,1219.2512,5
-2890.661,-689.0958,0
67.30444,389.633,7
1549.6199,734.4312,3
